,ATL,AUS,BNA,BOS,BWI,CLT,DAL,DCA,DEN,DFW,DTW,EWR,FLL,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
DTW,0.0,0.031431873603155185,0.0,0.008335119324794452,0.01264199044648307,0.06821341417614282,0.0,0.0699215093396362,0.008504336281299677,0.01005665937862614,0.5499173487944449,0.03545728856700491,0.004804411619401716,0.019355869375335746,0.0,0.04015766797333825,0.0,0.0,0.0,0.0,0.01061757400994834,0.10347100853043767,0.036014570986814765,0.026074981599005412,0.0,0.0,0.03366575549103363,0.0,0.022833043330427957,0.0
EWR,0.044009213977845296,0.04614807023503068,0.03211482136327289,0.07453572390725256,0.0,0.0,0.0,0.05881375288274971,0.0,0.0,0.010503375283782286,0.29849991859282604,0.03525310197254052,0.0,0.0,0.0,0.0,0.0,0.009863698694070382,0.0,0.004170130603005326,0.0031286150848182735,0.020292326046481162,0.04338509886592435,0.0,0.04925685440710728,0.0,0.0,0.0002798720453307156,0.01892265109307539
FLL,0.07421561840749004,0.0135261557884628,0.0051124804798369115,0.03869453892548642,0.09831086816478833,0.12538560204911395,0.0,0.0509441718314214,0.0,0.0,0.0,0.07886231716607134,0.29518699451326463,0.0,0.025317971012794833,0.002466118595542601,0.011779319814374085,0.0,0.13518115488117213,0.00036432967903324927,0.0,0.0,0.009776279548731587,0.0,0.0,0.026375031850059308,0.018415477177062108,0.03415389904063541,0.016207346933414166,0.10213781561800157
IAH,0.0,0.05539135873259044,0.13509391214286476,0.017774643168289455,0.0,0.005165378360612135,0.192684881353513,0.05385050372567388,0.0,0.0,0.0,0.021417090382539423,0.04926314228290847,0.4433678233695933,0.0,0.03596581324613593,0.013372766217897793,0.0058663751773533265,0.021530831581481807,0.02147502427798762,0.0,0.009513756255276062,0.0011255548270752936,0.0,0.022004296631795116,0.02266228901342663,0.010598364382497286,0.0013630248075049492,0.0,0.0
JFK,0.03977060376014618,0.04550346100008386,0.006240834178365214,0.12451217487805963,0.08636963596744647,0.03070267717188234,0.0,0.038054609280136195,0.0,0.0,0.01753627389346608,0.0,0.03917177977161661,0.004161083748450196,0.22505511159776337,0.0,0.005736685760950657,0.0,0.0,0.0,0.06278870417818067,0.024359826757970576,0.02471564534765351,0.0,0.0,0.019540226120736144,0.01146292007646232,0.0,0.010342162711645833,0.004607893588274282
LAS,0.012982221609677267,0.016338601851086973,0.0,0.0,0.01814462405483011,0.017270262444813334,0.02325307522008901,0.004483656004380536,0.0022110161557223076,0.017777368452696805,0.003481096862785751,0.043452277702035906,0.0,0.02745583748669226,0.0,0.33341755565045844,0.011630052627964573,0.0,0.0012135558600692104,0.0,0.0,0.004039376520764633,9.957506215158041e-06,0.0,0.07087835518872988,0.12285035924188134,0.0012357627558875583,0.07779770945053871,0.07320765649013893,0.009628581623727801
LAX,0.04246554239836204,0.0051580016305624535,0.0,0.01467012948664428,0.002881702109518346,0.0,0.01950998390891606,0.010030518031834761,0.02606365773893127,0.0,0.0040749845794820225,0.0,0.0,0.005342914186246061,0.011138951575027797,0.09280762878556337,0.0130962661312303,0.006803603091803034,0.0636950648297264,0.006781435791362299,0.0,0.016477952758938857,0.01865385507206985,0.0,0.03540686332916846,0.06338374039459989,0.007184972135089504,0.08492957409019193,0.0,0.0
LGA,0.022539310392249597,0.0,0.0013069369418021394,0.12836023110334785,0.0,0.06051728045834536,0.12130244821874134,0.024506626948130255,0.22608448909861548,0.0,0.018890191432003864,0.0,0.03865405943806946,0.039161578206303525,0.0,0.0,0.0,0.07822162745536212,0.10408499760531827,0.012870565912062221,0.02934168040032572,0.004409128818701669,0.0807049210205052,0.13974959670146286,0.0,0.0,0.0,0.0,0.0,0.015321985538209798
MCO,0.02805711140441586,0.06339318808925275,0.0,0.0,0.0712144678896881,0.05340769706322959,0.04666776706236811,0.0,0.0,0.0039623626347063436,0.008551168395078195,0.13428186314979731,0.16352019384083039,0.013075651918557321,0.0,0.0,0.0056909473333377975,0.026699804554147177,0.25934537834784094,0.0,0.08944366564859434,0.0,0.056734539990565575,0.022505508506759316,0.03584064745103152,0.0,0.006844630349871498,0.0,0.004767148081772857,0.0
MDW,0.0,0.12869743770409023,0.0575321419898126,0.0,0.05325006151829605,0.0641310320977805,0.01965281473059712,0.0,0.0,0.0,0.004903888322742593,0.0,0.020874373012939134,0.0,0.0,0.015214224345949132,0.0008420692882226488,0.0,0.0,0.21851206646217616,0.041934770904723986,0.02763381822066008,0.0,0.02462633691683227,0.16263848930265573,0.0,0.10474357871535078,0.0,0.0,0.0
