Origin,Dest,flights,delay_rate,avg_arr_delay,avg_risk,distance,route_share_to_dest,route_share_from_origin
BWI,MSP,260,0.12692307692307692,12.319230769230769,0.1251160842568621,936.0,0.01716511520433089,0.020886889460154243
BWI,ORD,626,0.15814696485623003,13.630990415335463,0.1847743521103748,622.0,0.020410824910335832,0.0502892030848329
BWI,PHX,247,0.23076923076923078,11.643724696356275,0.2268730077128346,1999.0,0.009863823329739228,0.019842544987146528
BWI,SAN,178,0.21910112359550563,10.657303370786517,0.1698791721075333,2295.0,0.012608018132880011,0.01429948586118252
BWI,SEA,70,0.3142857142857143,20.071428571428573,0.2359301612843568,2335.0,0.004069530841230161,0.005623393316195373
BWI,SFO,76,0.10526315789473684,5.328947368421052,0.14147041652178693,2457.0,0.003935173199399369,0.006105398457583547
BWI,SLC,183,0.22404371584699453,17.546448087431695,0.16629827081050153,1865.0,0.011472634944517585,0.014701156812339331
BWI,TPA,802,0.23815461346633415,18.948877805486283,0.22030564999206914,842.0,0.05197666882696047,0.0644280205655527
CLT,ATL,1140,0.17105263157894737,13.271052631578947,0.1729781884765809,226.0,0.03296989328166122,0.05322625828742179
CLT,AUS,453,0.2693156732891832,15.931567328918323,0.29431207129749065,1032.0,0.030419016921837228,0.021150434214212345
CLT,BNA,907,0.21168687982359427,13.5226019845645,0.23162679565926314,328.0,0.055230787967360855,0.04234755812867681
CLT,BOS,1109,0.22993688007213706,15.78268710550045,0.24397132955130751,728.0,0.04723369819839005,0.05177887757960594
CLT,BWI,655,0.22290076335877862,13.345038167938931,0.24676277397422888,361.0,0.05245875380426077,0.03058175366514147
CLT,DAL,91,0.2857142857142857,16.065934065934066,0.19900855909082543,926.0,0.010210951526032316,0.004248762722943319
CLT,DCA,795,0.3119496855345912,20.79622641509434,0.2832054807834635,331.0,0.0446378439079169,0.03711831170043888
CLT,DEN,690,0.23333333333333334,13.392753623188407,0.2400092054088868,1337.0,0.022090603489675044,0.03221589317396582
CLT,DFW,978,0.25357873210633947,14.58077709611452,0.26309461025497993,936.0,0.035515851399934635,0.04566252684657764
CLT,DTW,811,0.17139334155363747,13.25154130702836,0.1802388524358131,500.0,0.04688132261980461,0.03786534690447287
CLT,EWR,838,0.20883054892601433,18.297136038186157,0.19936485070341461,529.0,0.045380699664247806,0.039125968811280235
CLT,FLL,1011,0.27695351137487634,19.550939663699307,0.28076363137411003,632.0,0.05578854431078247,0.04720328695489775
CLT,IAH,590,0.20847457627118643,14.950847457627118,0.23528265302288542,912.0,0.03238377517975739,0.027546923148753386
CLT,JFK,745,0.2684563758389262,22.54496644295302,0.2494559508058931,541.0,0.04306109473440842,0.03478382668783266
CLT,LAS,634,0.23659305993690852,16.154574132492115,0.2919420702151638,1916.0,0.025774453207577853,0.029601269959846858
CLT,LAX,696,0.21551724137931033,13.566091954022989,0.251055643762455,2125.0,0.02390438247011952,0.032496031375478567
CLT,LGA,1348,0.24777448071216618,17.631305637982194,0.2450053903262607,544.0,0.06615301565490504,0.06293771593986366
CLT,MCO,1464,0.2786885245901639,20.311475409836067,0.26840122945359435,468.0,0.05338389731621937,0.0683537211691101
CLT,MDW,173,0.2023121387283237,9.497109826589595,0.1782766333802392,584.0,0.016871464794226642,0.008077318143617517
CLT,MIA,849,0.254416961130742,18.316843345111895,0.26031410158096335,650.0,0.04009445100354191,0.0396395555140536
CLT,MSP,545,0.13944954128440368,9.051376146788991,0.16481920319411988,930.0,0.03598072225523206,0.025445886637407787
CLT,ORD,1037,0.210221793635487,15.832208293153327,0.21052761969387063,599.0,0.03381154222367134,0.04841721916145298
